humanratings,mainrel,rstpostprob79,rstpostprob9,subrel,wordpair
"[0.         0.         0.         0.00110299 0.00110299 0.0834671
 0.         0.         0.        ]",2,"[3.05801369e-01 7.40459774e-02 2.66746358e-01 9.96386714e-02
 2.07317399e-01 4.55664090e-01 5.89751980e-01 1.71024651e-01
 1.83373806e-02 3.47162973e-01 1.93858209e-01 4.16957674e-01
 2.82268202e-02 1.00232865e-01 5.32300683e-01 7.48091939e-01
 4.43046853e-01 5.17214990e-01 7.17474005e-01 3.05584465e-01
 6.88330590e-01 3.59943775e-01 2.68935781e-01 1.76026516e-01
 6.04237115e-01 5.22964333e-01 4.70362011e-01 4.75836097e-01
 5.72252973e-01 8.36945510e-01 1.70152231e-01 4.77022843e-01
 5.71176845e-01 1.97546826e-01 4.95565879e-01 6.13655586e-01
 3.80615030e-01 8.22788342e-02 3.58791862e-01 6.48202875e-05
 5.09379450e-01 4.60828512e-01 5.43242958e-01 1.06792437e-01
 4.52856338e-01 5.16408990e-01 4.72462945e-01 2.65811399e-01
 1.15223871e-01 1.28402018e-01 3.70149318e-02 1.39323416e-01
 1.73271705e-01 8.85589448e-02 5.36785198e-01 3.21546222e-01
 3.76445369e-01 4.76461076e-02 4.25324964e-01 2.42003719e-01
 2.87304137e-01 2.19765724e-02 2.92565112e-01 5.48099792e-01
 1.36544709e-01 5.46349743e-01 5.25234389e-01 2.79214294e-01
 5.33025244e-01 5.73481884e-01 2.69785212e-01 4.13005381e-01
 9.41382379e-02 2.98855838e-01 4.37787874e-01 4.84778369e-01
 3.33156092e-01 2.12812098e-01 5.51052195e-01]","[0.74809194 0.68833059 0.26893578 0.60423711 0.47036201 0.83694551
 0.37644537 0.04764611 0.24200372]",6,enthusiastic:lazy
"[0.         0.         0.         0.         0.         0.
 0.05287777 0.00110299 0.00110299]",3,"[0.17803364 0.36181258 0.53252835 0.28224375 0.60257297 0.05808351
 0.01674574 0.03309084 0.10200431 0.15972976 0.56984258 0.28645135
 0.10263696 0.55390176 0.539805   0.61864428 0.01855171 0.35828577
 0.38788185 0.32331602 0.57190785 0.45530841 0.42366981 0.36199574
 0.45382247 0.25233541 0.4452446  0.55606619 0.42433823 0.3406762
 0.20337165 0.63868786 0.41188345 0.49760009 0.16479016 0.18479057
 0.1152337  0.57187422 0.19876426 0.76720393 0.03324285 0.44418906
 0.52789748 0.43245425 0.06635303 0.1509445  0.57810787 0.42977172
 0.00287804 0.13497569 0.07731747 0.52674955 0.59483625 0.29646428
 0.39116456 0.06019703 0.84294596 0.03396729 0.22361546 0.523491
 0.19122649 0.86345032 0.09513041 0.30181828 0.03859703 0.11281051
 0.16302261 0.20563664 0.31708073 0.31025026 0.09614306 0.01136504
 0.30896403 0.30717427 0.62787654 0.24504617 0.32984554 0.06713531
 0.0267655 ]","[0.61864428 0.57190785 0.42366981 0.45382247 0.4452446  0.3406762
 0.84294596 0.03396729 0.523491  ]",7,exercise:fitness
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.05411715]",3,"[2.33270887e-01 4.32746388e-01 6.92876135e-01 1.48007653e-01
 4.68590572e-01 3.04301718e-01 3.94129862e-01 4.02039123e-01
 1.34473428e-02 3.97575969e-02 3.20873935e-01 2.66466115e-01
 3.69355574e-01 2.03812280e-01 1.12073995e-01 8.07787575e-02
 2.30985131e-02 7.71062587e-02 1.44273110e-01 4.74824505e-02
 3.81262712e-02 2.90227817e-02 2.39595074e-01 2.35510067e-02
 2.39099431e-01 1.29016168e-01 1.61425472e-02 4.90239903e-01
 3.38913182e-01 3.89469209e-02 9.61001685e-02 7.39373980e-01
 2.41855548e-01 3.20253815e-01 7.21664370e-02 1.06911087e-01
 2.23769507e-04 6.73881787e-01 3.95870072e-01 8.58706395e-01
 1.95433805e-01 2.38874923e-01 4.66084661e-02 5.50502203e-01
 5.24852003e-02 2.82512916e-02 5.98859538e-01 5.35911888e-01
 5.08415655e-03 1.09996031e-01 2.45407169e-02 1.96603856e-01
 2.62438974e-01 2.89110565e-01 8.56324435e-02 3.15489781e-02
 6.75143758e-01 7.46370659e-02 6.97610488e-02 8.53485208e-01
 3.16230596e-01 3.49891400e-01 1.15629732e-01 5.63011379e-02
 9.78982095e-02 2.05206818e-01 3.48215732e-02 1.23845570e-01
 2.25527627e-01 4.44072451e-01 2.05067301e-02 3.60315363e-02
 1.35514775e-01 2.68980377e-01 2.21113250e-01 1.49585916e-01
 6.02994352e-02 1.90908084e-01 1.27365107e-01]","[0.08077876 0.03812627 0.23959507 0.23909943 0.01614255 0.03894692
 0.67514376 0.07463707 0.85348521]",9,exercise:healthy
"[0.         0.         0.         0.         0.         0.
 0.08541794 0.00110299 0.00110299]",3,"[0.10170934 0.01711022 0.33242496 0.06248899 0.25907559 0.09339833
 0.45228338 0.47073015 0.2978855  0.0262152  0.49347677 0.42912223
 0.18315752 0.38168409 0.44738879 0.0751769  0.00789229 0.11112863
 0.26575749 0.45968784 0.49172053 0.47307788 0.62636685 0.5957213
 0.6620263  0.2875038  0.50928045 0.54721038 0.55672676 0.70254476
 0.38872025 0.77749729 0.51074607 0.36984173 0.61340084 0.67656531
 0.68336568 0.12319981 0.09096797 0.69325919 0.31111234 0.50497207
 0.59081315 0.12772571 0.49139008 0.36159345 0.20694771 0.1082276
 0.28666951 0.30300421 0.20423142 0.03149345 0.12694604 0.01121634
 0.07085906 0.21147278 0.85283752 0.12133772 0.24442217 0.57138139
 0.23629803 0.3012912  0.15136816 0.15834054 0.54634932 0.35865401
 0.06112918 0.11779553 0.53096024 0.33408457 0.34101508 0.43021897
 0.0658181  0.18985144 0.33208893 0.60088055 0.18152496 0.22100054
 0.61747525]","[0.0751769  0.49172053 0.62636685 0.6620263  0.50928045 0.70254476
 0.85283752 0.12133772 0.57138139]",7,explosion:damage
"[0.         0.         0.         0.06810569 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[4.25975313e-01 5.13866819e-01 5.27295153e-01 5.02940063e-01
 5.12088063e-01 1.45143675e-01 2.32850335e-01 7.96425201e-02
 8.76251815e-02 5.88060726e-02 1.74693006e-01 4.24525907e-01
 6.25927541e-02 5.95815610e-02 2.56954392e-01 7.97292520e-01
 7.13255227e-01 6.11530687e-01 1.73106058e-01 5.62453534e-01
 7.29744637e-01 6.96534647e-01 7.71621367e-02 5.29521004e-01
 8.58906023e-01 6.70785341e-01 7.06944189e-01 8.46814125e-01
 5.31190325e-01 7.45208694e-01 1.95723345e-03 4.04109917e-01
 5.10381300e-01 2.57750419e-01 5.14760633e-01 4.54660292e-01
 6.46794402e-01 1.51599887e-02 2.54096350e-01 5.93800823e-01
 3.47042112e-01 5.30316136e-01 3.81302955e-04 7.30119492e-01
 3.71963509e-02 3.32497876e-02 1.34977657e-01 4.64531402e-01
 3.87475431e-02 1.73948266e-01 1.33451760e-01 1.19944109e-01
 1.90216624e-02 7.72049629e-02 4.47033890e-01 1.64873731e-01
 2.70576207e-01 5.02484132e-02 1.85281904e-01 3.61757069e-01
 1.96315226e-01 7.48103470e-02 3.14318892e-01 2.10892688e-02
 2.27649741e-01 3.19325455e-01 1.20846833e-01 3.08064980e-01
 4.84597413e-01 2.01264973e-01 8.58913808e-02 1.30899595e-01
 9.19518267e-02 1.68952349e-01 9.02692870e-02 2.92418298e-01
 4.68018206e-01 4.49556138e-02 7.47871319e-02]","[0.79729252 0.72974464 0.07716214 0.85890602 0.70694419 0.74520869
 0.27057621 0.05024841 0.36175707]",4,fast:slow
"[0.         0.         0.         0.04503163 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.09716039 0.25847186 0.58439065 0.36916938 0.13551324 0.47267272
 0.38724066 0.35755724 0.27919006 0.00997649 0.11722844 0.55716786
 0.16480741 0.40412704 0.38178272 0.37983257 0.19254412 0.35863239
 0.41245144 0.42720291 0.67714679 0.42994145 0.10001764 0.84115437
 0.82432956 0.51737352 0.58766696 0.46461164 0.49587064 0.59540936
 0.09035722 0.77291821 0.24214655 0.66402027 0.02108479 0.35589522
 0.2578994  0.56549713 0.3657536  0.67484201 0.66358915 0.68610275
 0.29860458 0.72899805 0.4157488  0.02823062 0.5083697  0.30018093
 0.17379916 0.21431029 0.26735858 0.44040874 0.08083903 0.11956144
 0.372081   0.43924395 0.17836173 0.30704548 0.09487454 0.14567788
 0.0513327  0.34173295 0.09739054 0.05076372 0.17596968 0.01210279
 0.10083041 0.02006684 0.21777292 0.15077742 0.12738656 0.2720788
 0.37054626 0.23061663 0.0656973  0.07254229 0.35745742 0.00217692
 0.32962059]","[0.37983257 0.67714679 0.10001764 0.82432956 0.58766696 0.59540936
 0.17836173 0.30704548 0.14567788]",4,fat:thin
"[0.00110299 0.0086558  0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.2292557  0.09665531 0.21945055 0.4933938  0.54883361 0.52534905
 0.63080988 0.54411938 0.5825398  0.42702125 0.58312249 0.52144413
 0.30179296 0.14662632 0.26346643 0.03573541 0.05204449 0.50824588
 0.13739902 0.37157866 0.80018428 0.10800588 0.09604602 0.09398632
 0.65493129 0.66378829 0.35487881 0.56456152 0.54209766 0.54782491
 0.55687778 0.63992833 0.40071917 0.58167987 0.54126545 0.63791329
 0.48646396 0.59793722 0.36021529 0.49011317 0.70910237 0.42157338
 0.52850577 0.19034613 0.43973095 0.58519529 0.17555664 0.02397101
 0.18410057 0.16721781 0.09500094 0.19454225 0.26138808 0.36593485
 0.5928644  0.41760458 0.33313378 0.06562737 0.07753451 0.32935173
 0.07773262 0.22072621 0.5019547  0.33780238 0.69060028 0.42315956
 0.66453711 0.6963194  0.66325044 0.13774429 0.52553783 0.27761283
 0.29379704 0.468314   0.28108482 0.55594955 0.28047446 0.11328469
 0.6571055 ]","[0.03573541 0.80018428 0.09604602 0.65493129 0.35487881 0.54782491
 0.33313378 0.06562737 0.32935173]",2,fence:hedge
"[0.         0.         0.         0.         0.         0.
 0.04067521 0.00110299 0.00110299]",3,"[0.24021111 0.25710451 0.28232373 0.02676179 0.0680449  0.5607185
 0.07635029 0.10052043 0.19067549 0.15483614 0.3477138  0.43262615
 0.08923306 0.50012763 0.07825045 0.14041341 0.41500452 0.38825842
 0.19381758 0.01599914 0.52471379 0.27852888 0.50307257 0.17008736
 0.20484768 0.02812709 0.08050997 0.00108226 0.26791003 0.2142218
 0.08810793 0.41497317 0.3424009  0.00701286 0.02690358 0.55806581
 0.39339431 0.12875997 0.40458956 0.74229622 0.43394434 0.15936751
 0.09101769 0.2104643  0.0873187  0.15364663 0.04429717 0.02450852
 0.18662059 0.0359065  0.21185849 0.08258738 0.14587603 0.05095698
 0.60786616 0.01675343 0.84369098 0.26450244 0.04217271 0.54596795
 0.00278445 0.1188684  0.0264557  0.11031165 0.54230094 0.51618845
 0.63717604 0.53958355 0.10616551 0.09080228 0.14084246 0.37232008
 0.18640039 0.10910991 0.4600172  0.16384912 0.16948806 0.2461031
 0.41151721]","[0.14041341 0.52471379 0.50307257 0.20484768 0.08050997 0.2142218
 0.84369098 0.26450244 0.54596795]",7,fire:burns
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.12308998]",3,"[0.06571365 0.00713255 0.06253073 0.11296574 0.04045186 0.55414614
 0.25216613 0.47638921 0.2141954  0.21507676 0.47681312 0.25877123
 0.25811373 0.20959951 0.445185   0.64696239 0.57313875 0.19558014
 0.44984135 0.38791876 0.66254287 0.63339149 0.44163117 0.49840849
 0.59049766 0.55291351 0.60051288 0.30660007 0.39492035 0.6316266
 0.20220519 0.46872985 0.08946084 0.35158068 0.18414865 0.11613568
 0.1899792  0.5832977  0.41798704 0.51440053 0.42141333 0.31433395
 0.21933588 0.4825119  0.0497892  0.25320158 0.26613469 0.56912234
 0.18027688 0.23941892 0.2318925  0.38701146 0.3851681  0.12438257
 0.41214494 0.30213509 0.14145353 0.04959093 0.12925867 0.52115798
 0.16110351 0.33750766 0.04736011 0.20682301 0.00667179 0.06896424
 0.11718174 0.25106074 0.14260938 0.3963233  0.02436695 0.64089956
 0.32580107 0.27768792 0.4939668  0.39697472 0.26316295 0.09984403
 0.10893938]","[0.64696239 0.66254287 0.44163117 0.59049766 0.60051288 0.6316266
 0.14145353 0.04959093 0.52115798]",9,flee:escape
"[0.00110299 0.00110299 0.05641137 0.         0.         0.
 0.         0.         0.        ]",1,"[0.44392735 0.27452435 0.55795868 0.01125449 0.10315632 0.70817235
 0.17695501 0.33670918 0.4987617  0.41606095 0.67714886 0.67682587
 0.14551063 0.35692949 0.02866533 0.2149467  0.25639229 0.01275802
 0.13398966 0.19071688 0.48066032 0.21800849 0.85994282 0.43327331
 0.67954743 0.18180331 0.41641599 0.2707665  0.58253615 0.33291004
 0.54711035 0.07776239 0.18256975 0.11010757 0.07900868 0.04805341
 0.35321475 0.11529381 0.36675139 0.23174266 0.47702325 0.58645027
 0.63429207 0.51130028 0.01535482 0.2493139  0.12346379 0.0823134
 0.30262982 0.18114589 0.21856147 0.22939654 0.29170477 0.18369961
 0.62236602 0.18834698 0.40360894 0.04558468 0.02200872 0.00916507
 0.01662416 0.28746884 0.05121076 0.01323683 0.04134975 0.65030964
 0.40639624 0.55961819 0.13325783 0.32119432 0.39700581 0.5853567
 0.08080711 0.22114325 0.3641826  0.33335611 0.20537228 0.02290237
 0.28402211]","[0.2149467  0.48066032 0.85994282 0.67954743 0.41641599 0.33291004
 0.40360894 0.04558468 0.00916507]",3,flood:water
"[0.00110299 0.00110299 0.02126275 0.         0.         0.
 0.         0.         0.        ]",1,"[5.12054105e-01 2.34853985e-01 3.18898655e-01 2.86015698e-01
 2.85361308e-01 3.36940805e-01 2.81484861e-01 4.19888501e-01
 5.57504293e-01 2.65739570e-01 2.30806333e-01 6.37109796e-01
 6.26392271e-01 4.58603384e-01 2.96248663e-02 5.17469950e-01
 3.05701299e-01 3.96074564e-01 2.91871718e-03 4.01961402e-02
 3.85688791e-01 4.84044259e-01 8.49046893e-01 3.39421491e-01
 2.76099957e-01 4.26666686e-01 6.11272170e-01 7.06598916e-01
 3.63251026e-01 5.77168508e-01 1.06219644e-02 6.36470663e-01
 3.83642972e-01 2.38555308e-01 5.96485077e-01 2.46752842e-01
 1.67275330e-01 2.24073659e-01 2.82937689e-01 6.61388681e-01
 2.80156374e-04 3.53484245e-01 4.14977695e-03 4.27791327e-01
 1.68500792e-01 2.09803202e-01 3.17911618e-02 3.95775734e-01
 1.75223223e-01 1.00456985e-01 3.01394690e-02 1.15911126e-01
 7.91651987e-02 3.03250384e-01 5.63260427e-02 4.76351728e-01
 4.03469274e-01 3.19554275e-04 9.79628275e-02 6.73604030e-01
 1.04444715e-01 5.06716408e-01 1.43747636e-01 3.06132729e-01
 4.30740228e-01 8.41037769e-02 5.28224217e-02 7.15313093e-01
 7.94877287e-02 3.37703866e-01 1.96852314e-01 1.69792104e-01
 2.50138355e-01 2.90732128e-01 2.42972712e-01 2.37279922e-01
 4.35269236e-01 2.43419697e-02 4.14298110e-01]","[5.17469950e-01 3.85688791e-01 8.49046893e-01 2.76099957e-01
 6.11272170e-01 5.77168508e-01 4.03469274e-01 3.19554275e-04
 6.73604030e-01]",3,force:pressure
"[0.         0.         0.         0.00110299 0.09720116 0.00110299
 0.         0.         0.        ]",2,"[0.04634888 0.05778372 0.04460453 0.03226368 0.09721469 0.11372633
 0.14993505 0.06625397 0.10784297 0.09262177 0.11812647 0.10620095
 0.06134953 0.00353168 0.0984287  0.13701285 0.16727122 0.19312248
 0.1546757  0.02652327 0.12011789 0.09105873 0.12267744 0.65317184
 0.73269672 0.50796331 0.80885125 0.62953088 0.36583596 0.68877422
 0.08963767 0.14002563 0.05361263 0.04397167 0.10850777 0.06860748
 0.0512004  0.08892604 0.16816482 0.08620905 0.19533057 0.09672241
 0.00767822 0.10580379 0.01145159 0.07503952 0.1725346  0.08739515
 0.07308575 0.1424869  0.13584758 0.17153249 0.10512496 0.02406176
 0.14039444 0.10326209 0.00519935 0.03800498 0.03519328 0.14383915
 0.09807049 0.00295036 0.02853148 0.02462383 0.15399843 0.1165769
 0.09587107 0.13204593 0.10131281 0.08113234 0.05227795 0.1563592
 0.0158236  0.00997917 0.07123614 0.11952962 0.05220255 0.00507762
 0.02167554]","[0.13701285 0.12011789 0.12267744 0.73269672 0.80885125 0.68877422
 0.00519935 0.03800498 0.14383915]",5,forward:backward
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.04761183 0.00110299]",3,"[4.15673334e-01 6.29486701e-01 5.53329152e-01 4.24250523e-01
 3.11944821e-02 5.13166600e-01 7.13151181e-01 1.92438243e-01
 2.46081432e-01 5.32673014e-02 1.13686985e-01 9.09494648e-02
 9.18023630e-03 3.05788078e-01 2.23234110e-01 6.22344629e-01
 7.41302365e-01 7.29205971e-01 6.13899601e-01 1.20409378e-01
 5.09562684e-01 5.21217225e-01 4.95638793e-01 2.02209889e-02
 2.80107546e-01 5.00051266e-01 3.03501924e-01 2.53171632e-01
 6.81858923e-01 5.55365731e-01 6.05814904e-01 6.78758526e-03
 1.77892308e-01 4.76402191e-05 1.96397514e-04 6.92245196e-01
 6.83944386e-01 3.48859262e-02 5.85280407e-02 1.17747226e-01
 3.44517402e-01 2.40786782e-01 2.62296503e-01 6.46514170e-02
 3.92013936e-01 6.26767546e-01 1.39838715e-01 9.02349619e-02
 7.25602670e-02 2.16335295e-01 4.26876495e-01 1.35083242e-02
 1.63723010e-01 2.39098455e-01 1.39534558e-01 1.44530682e-02
 3.69892195e-01 8.71222480e-01 6.95201319e-01 3.30352712e-01
 1.39994341e-02 4.19880170e-03 4.36558865e-01 1.42373566e-01
 1.63360934e-01 1.25869861e-01 2.96802505e-01 5.45532181e-01
 5.54157546e-01 1.46529162e-01 4.67678542e-01 4.94565856e-01
 2.12839890e-01 3.88953856e-01 2.26247863e-04 2.08422295e-01
 9.60964849e-02 8.39709344e-02 3.99510976e-01]","[0.62234463 0.50956268 0.49563879 0.28010755 0.30350192 0.55536573
 0.36989219 0.87122248 0.33035271]",8,fright:scream
"[0.         0.         0.         0.00110299 0.09720116 0.00110299
 0.         0.         0.        ]",2,"[0.20139661 0.52199504 0.38049931 0.17227098 0.30840591 0.03504511
 0.0421915  0.36340999 0.15367998 0.29681823 0.06541928 0.7262989
 0.28271453 0.12486158 0.25052909 0.77994433 0.82287342 0.47642437
 0.04601063 0.51798488 0.7309736  0.75514926 0.2936739  0.7465234
 0.81105312 0.58429313 0.84112454 0.34447389 0.5727446  0.80077377
 0.01342049 0.08987514 0.53474724 0.30822456 0.23404816 0.29881597
 0.46247617 0.2590283  0.03494306 0.44512136 0.09627052 0.44122385
 0.15956456 0.69436828 0.02343426 0.40029864 0.051587   0.67977442
 0.00155117 0.29086792 0.02661029 0.01659297 0.01293625 0.10686674
 0.22979265 0.31729562 0.00529563 0.01960569 0.0202806  0.40255651
 0.09142977 0.08606867 0.19727827 0.00593225 0.36457486 0.40313453
 0.03817531 0.55007882 0.20809008 0.3507181  0.02984952 0.20993287
 0.01191707 0.72595849 0.39237713 0.15490519 0.24159686 0.00776319
 0.161625  ]","[0.77994433 0.7309736  0.2936739  0.81105312 0.84112454 0.80077377
 0.00529563 0.01960569 0.40255651]",5,front:back
"[0.         0.         0.         0.00110299 0.00110299 0.03210273
 0.         0.         0.        ]",2,"[0.58132297 0.16652219 0.49160568 0.48527412 0.2682874  0.38608859
 0.31286817 0.37512359 0.47530192 0.2058903  0.12229633 0.52958582
 0.01192992 0.54183595 0.09140454 0.76217576 0.78654578 0.69817143
 0.64832851 0.5359381  0.74436867 0.58839221 0.03867971 0.71736194
 0.76943186 0.49427648 0.58666995 0.61550302 0.32498711 0.84229875
 0.05062039 0.44929789 0.19579254 0.00947586 0.0017559  0.32956096
 0.18853441 0.30780925 0.59209366 0.34093823 0.72812036 0.42149363
 0.21271989 0.24572669 0.20925502 0.11989147 0.43593201 0.58393672
 0.00775316 0.1208713  0.02457597 0.36128542 0.12785742 0.11993022
 0.19870159 0.11763953 0.37212168 0.14938708 0.40343238 0.31126818
 0.24457233 0.12841698 0.30288383 0.09525423 0.34496406 0.06915681
 0.25680789 0.60358558 0.01809926 0.1497581  0.17411146 0.49758889
 0.38173922 0.33667204 0.04004872 0.63183728 0.53667891 0.26876676
 0.34713302]","[0.76217576 0.74436867 0.03867971 0.76943186 0.58666995 0.84229875
 0.37212168 0.14938708 0.31126818]",6,fun:boring
"[0.         0.         0.         0.00110299 0.00110299 0.03210273
 0.         0.         0.        ]",2,"[0.08929303 0.10368627 0.27694225 0.14867583 0.21130719 0.10631495
 0.05795369 0.66118108 0.24759645 0.60786319 0.18000307 0.64944845
 0.28163028 0.30054271 0.23268022 0.67214354 0.57580516 0.70571209
 0.46694078 0.50635211 0.64591182 0.47166945 0.0679788  0.26746036
 0.81606254 0.74646041 0.58651261 0.80378402 0.48272086 0.86378362
 0.3179977  0.2281527  0.62904015 0.5548197  0.83875401 0.02952482
 0.62705524 0.37873654 0.17370801 0.43649229 0.50991829 0.6059927
 0.05271941 0.70407057 0.5085095  0.43073175 0.59237118 0.24420307
 0.04911934 0.65146178 0.34303644 0.16804446 0.19090953 0.08471571
 0.56984144 0.05021269 0.23253254 0.02699328 0.01301022 0.66349776
 0.40235279 0.10755522 0.01594708 0.04289827 0.46742897 0.0745656
 0.1571649  0.00960558 0.55468455 0.17212816 0.08860882 0.00965907
 0.26367197 0.16820234 0.56249765 0.37114633 0.37734484 0.36335456
 0.69082428]","[0.67214354 0.64591182 0.0679788  0.81606254 0.58651261 0.86378362
 0.23253254 0.02699328 0.66349776]",6,funny:serious
"[0.         0.         0.         0.         0.         0.
 0.07016474 0.00110299 0.00110299]",3,"[0.33257644 0.3922173  0.59147297 0.39404003 0.19169025 0.24071867
 0.22063935 0.02235352 0.00288946 0.39948097 0.03147235 0.18529557
 0.01061466 0.13950408 0.26614293 0.5991479  0.0400835  0.62183926
 0.56516322 0.59511097 0.55768895 0.31228629 0.35832104 0.24615716
 0.54670977 0.5486098  0.40213538 0.5978232  0.41925567 0.45943168
 0.15803427 0.56796494 0.53722299 0.6694679  0.6646711  0.36919914
 0.30173716 0.11989606 0.28998213 0.54016049 0.32279001 0.64688924
 0.65154986 0.30993757 0.26112929 0.30147945 0.61143275 0.3269216
 0.02554556 0.52697733 0.01397644 0.28252741 0.26003199 0.10909576
 0.60448199 0.14041462 0.83862287 0.12942147 0.57605695 0.61213521
 0.55467572 0.59667639 0.70760051 0.74438553 0.25931996 0.38902656
 0.38212985 0.09658394 0.63819496 0.23912378 0.16273666 0.1186718
 0.05657771 0.40331201 0.61965339 0.4647628  0.29499592 0.08703836
 0.37823623]","[0.5991479  0.55768895 0.35832104 0.54670977 0.40213538 0.45943168
 0.83862287 0.12942147 0.61213521]",7,germs:sickness
"[0.         0.         0.         0.06084853 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[1.34204875e-01 2.22845926e-01 2.42233862e-01 3.44796436e-01
 4.43137014e-01 3.53149779e-01 1.47656433e-01 3.18195018e-01
 7.58537628e-02 1.72424645e-01 6.94984571e-02 3.42733161e-01
 2.23315354e-01 5.61518904e-02 1.08869288e-01 7.91018316e-01
 7.94941802e-01 5.80122876e-01 4.66907298e-01 5.23560506e-01
 6.49200880e-01 7.12297411e-01 1.26200470e-01 7.97822398e-01
 8.70417525e-01 6.18277441e-01 7.24218391e-01 5.33243701e-01
 3.03563436e-01 7.81886737e-01 3.03218719e-03 4.91441146e-01
 4.35320281e-01 1.11257634e-01 3.62946436e-01 1.52544416e-01
 6.09848433e-01 1.41830050e-01 3.94598097e-01 4.40156569e-01
 3.74753722e-01 3.09924632e-01 7.32969723e-05 6.95783435e-01
 1.70633268e-02 1.35880888e-02 7.75131772e-02 6.30552436e-01
 1.54895172e-02 3.43583814e-01 1.69366871e-02 1.46761187e-01
 2.92925911e-02 2.57720575e-01 1.00551222e-01 9.40090191e-02
 9.03142501e-03 2.46227232e-02 7.96471010e-02 2.54092809e-02
 8.93636129e-02 4.19220554e-02 1.75116376e-01 8.37051302e-02
 2.82620556e-01 5.90791349e-02 1.11037950e-01 1.97961206e-01
 5.12005193e-02 1.06508818e-01 4.00058624e-02 5.27004469e-01
 1.00863206e-02 9.29830733e-02 4.70836194e-02 1.29966979e-01
 2.52451719e-01 1.83282092e-01 4.18662251e-02]","[0.79101832 0.64920088 0.12620047 0.87041753 0.72421839 0.78188674
 0.00903143 0.02462272 0.02540928]",4,good:bad
"[0.         0.         0.         0.00110299 0.00110299 0.10272873
 0.         0.         0.        ]",2,"[0.09413916 0.34014207 0.03704628 0.14066167 0.2244498  0.39888952
 0.23923373 0.10940537 0.4132918  0.22889731 0.11444834 0.23698849
 0.10937079 0.09692061 0.19212372 0.76156236 0.73072083 0.77708265
 0.63021153 0.44898034 0.64019174 0.70489373 0.37968273 0.67524176
 0.76523267 0.5822558  0.59934861 0.33744606 0.18308442 0.847583
 0.00583172 0.35597532 0.70482576 0.08986485 0.31430682 0.24123997
 0.73784543 0.1111642  0.57434738 0.11853371 0.2176615  0.06093228
 0.39171453 0.32261799 0.03534131 0.07442213 0.33553574 0.69733446
 0.05450584 0.39336757 0.07460214 0.24854888 0.17953369 0.32638279
 0.10444519 0.28501233 0.04501213 0.1496329  0.28257514 0.27145553
 0.03817731 0.13756207 0.13857944 0.12347662 0.20158309 0.06913721
 0.00521129 0.35141277 0.21127426 0.1331252  0.25349443 0.65725837
 0.23745964 0.30749241 0.02448561 0.49093049 0.00340468 0.24420229
 0.24916119]","[0.76156236 0.64019174 0.37968273 0.76523267 0.59934861 0.847583
 0.04501213 0.1496329  0.27145553]",6,good:wrong
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.08491281 0.00110299]",3,"[3.75717169e-01 4.94600068e-01 5.04013039e-01 3.93238964e-01
 5.35319458e-01 4.53514968e-01 5.33089289e-02 6.54964907e-02
 4.68966934e-02 1.05084831e-02 5.20642678e-01 1.02268356e-03
 2.53963198e-01 4.56799919e-01 5.95996672e-02 7.17025022e-03
 4.32717234e-01 3.92990813e-02 1.94183331e-01 1.25023455e-01
 4.59945064e-01 8.52698241e-02 1.74722774e-01 2.92359052e-01
 3.30867563e-01 3.41155487e-01 4.18718879e-02 3.69716959e-01
 4.02586720e-01 4.72698538e-01 3.68808069e-01 2.14982222e-01
 2.39235498e-01 2.76364297e-02 7.95164391e-03 3.71881863e-01
 7.45653560e-01 1.92988396e-01 2.18954589e-01 3.58321436e-02
 3.40027438e-01 2.51333068e-01 1.07722106e-01 2.65684053e-02
 4.66763283e-01 3.95764661e-01 1.81243962e-01 3.47180387e-01
 5.78413091e-01 1.15095315e-01 2.09615913e-01 9.88570373e-02
 2.06959839e-01 1.90464414e-01 1.58617550e-01 4.51419379e-01
 5.52925581e-01 8.54170495e-01 3.66774196e-01 7.70153344e-03
 5.63681672e-02 2.83488297e-02 7.14162445e-02 1.83118290e-01
 2.43679950e-01 3.73138930e-02 3.69290888e-03 2.37077544e-01
 2.15445937e-01 9.33235992e-02 3.21187430e-01 4.04845704e-01
 5.30260251e-01 3.79224744e-03 2.83143356e-04 3.20229619e-02
 8.25908716e-02 1.21187422e-01 1.90674417e-01]","[0.00717025 0.45994506 0.17472277 0.33086756 0.04187189 0.47269854
 0.55292558 0.8541705  0.00770153]",8,happiness:smile
